DATE,AAPL US Equity,MSFT US Equity,FB US Equity,GOOGL US Equity,V US Equity,INTC US Equity,CSCO US Equity,MA US Equity,JNJ US Equity,UNH US Equity,PFE US Equity,MRK US Equity,BRK/B US Equity,JPM US Equity,BAC  US Equity,WFC US Equity,AMZN US Equity,HD US Equity,DIS US Equity,NFLX US Equity,BA US Equity,MMM US Equity,GE US Equity,PG US Equity,KO US Equity,XOM US Equity,CVX US Equity,NEE US Equity,AMT US Equity,DWDP US Equity,T US Equity
2005-01-03,4.5207,26.74,#N/A N/A,101.453,#N/A N/A,23.07,19.32,#N/A N/A,62.9,43.31,26.45,31.26,57.98,39.15,46.46,30.955,44.52,43.1,27.4797,1.703,50.97,82.4,36.59,55.19,20.77,50.09,50.9,36.95,18.16,49.46,25.59
2005-01-04,4.5671,26.84,#N/A N/A,97.344,#N/A N/A,22.61,18.56,#N/A N/A,62.7,42.865,26.45,31.13,57.1,38.41,45.82,30.98,42.14,42.55,27.1837,1.666,49.98,81.73,36.15,54.5,20.48,49.75,50.55,36.5,17.92,48.39,25.32
2005-01-05,4.6071,26.78,#N/A N/A,96.849,#N/A N/A,22.39,18.57,#N/A N/A,62.66,43.015,26.27,31.34,57.2,38.49,45.29,31.015,41.77,42.16,27.0357,1.6,50.81,80.73,35.93,55.07,20.385,49.49,50.88,36.03,17.76,47.9,25.44
2005-01-06,4.6107,26.75,#N/A N/A,94.366,#N/A N/A,22.46,18.85,#N/A N/A,62.84,43.965,26.29,31.53,57.48,38.71,45.22,31.125,41.05,41.53,27.0752,1.579,50.48,81.46,36.22,55.34,20.555,50.12,51.73,36.615,17.92,48.45,25.15
2005-01-07,4.9464,26.67,#N/A N/A,97.019,#N/A N/A,22.8,18.72,#N/A N/A,62.61,43.615,26.3,31.13,58.38,38.4,44.73,31.085,42.32,41.42,26.8088,1.589,50.31,82.3,36,55.92,20.58,49.79,51.15,36.545,18.24,47.99,25.08
2005-01-10,4.9257,26.8,#N/A N/A,97.625,#N/A N/A,22.88,18.72,#N/A N/A,63.1,43.8,26.44,31.5,58.52,38.27,45.29,31.065,41.84,41.8,26.9173,1.61,50.98,83.94,35.91,56.36,20.695,49.98,51.38,36.67,18.78,48.7,24.9
2005-01-11,4.6114,26.73,#N/A N/A,96.864,#N/A N/A,22.54,18.64,#N/A N/A,62.88,43.755,26.15,31.17,57.53,37.9,45.18,31.005,41.64,41.71,26.8482,1.573,50.82,84.71,35.4,56.3,20.58,49.85,51.4,36.25,18.71,47.7,24.65
2005-01-12,4.6757,26.78,#N/A N/A,97.785,#N/A N/A,23.16,18.93,#N/A N/A,63.32,44.045,26.03,31.08,57.52,37.99,45.06,30.59,42.3,42.2,27.3515,1.536,51.94,84.96,35.68,56.51,20.58,50.59,52.49,36.425,18.54,48.35,24.81
2005-01-13,4.9857,26.27,#N/A N/A,97.76,#N/A N/A,22.82,18.78,#N/A N/A,61.97,44.2,25.33,30.65,57.4,37.77,44.5,30.32,42.6,41.73,27.3811,1.551,50.63,83.79,35.23,55.53,20.37,50.55,52.06,36.6,18.4,48.4,24.43
2005-01-14,5.0143,26.12,#N/A N/A,100.082,#N/A N/A,23.02,18.88,#N/A N/A,62.7,44.78,25.25,30.87,57.27,37.81,44.89,30.345,44.55,41.9,27.9237,1.619,50.91,83.97,35.52,55.88,20.485,51.07,52.3,36.62,18.66,49.79,24.41
2005-01-18,5.0464,26.32,#N/A N/A,102.049,#N/A N/A,22.94,18.74,#N/A N/A,63.03,44.4,25.3,31.3,57.8,38.4,45.73,30.73,44.58,42.16,28.3579,1.614,51.88,82.02,35.96,55.99,20.625,51.5,53.09,37.045,19,49.97,24.88
2005-01-19,4.9914,25.98,#N/A N/A,98.746,#N/A N/A,22.6,18.15,#N/A N/A,62.82,44.14,24.88,31.02,57.78,37.84,44.97,30.5,43.96,41.8,28.1211,1.581,51.41,82.17,35.44,56.68,20.55,51.05,52.69,36.895,18.87,49.27,24.79
2005-01-20,5.0329,25.86,#N/A N/A,97.054,#N/A N/A,22.58,18.32,#N/A N/A,62.49,43.315,24.98,30.73,58.36,37.25,45.31,30.27,42.36,41.15,28.1408,1.584,50.9,82.95,35.37,56.7,20.665,50.72,51.96,37.05,18.67,49.13,24.47
2005-01-21,5.035,25.65,#N/A N/A,94.231,#N/A N/A,22.42,18.01,#N/A N/A,61.85,44.425,24.48,30.36,60.09,36.85,45.09,30.06,41.16,40.9,27.7757,1.577,50.07,81.27,35.13,55.65,20.455,50.44,51.98,37.305,18.5,48.82,24.58
2005-01-24,5.0543,25.67,#N/A N/A,90.448,#N/A N/A,21.99,17.75,#N/A N/A,61.49,44.125,24.26,29.85,60,36.88,45.22,29.975,40.38,40.39,27.5784,1.591,49.64,81.62,35.26,55.21,20.48,51.13,52.57,37.325,18.29,48.13,24.54
